age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
55,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
35,Private,Assoc-acdm,12,Married-spouse-absent,Sales,Own-child,Black,Female,0,0,36,United-States,<=50K
42,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,50,United-States,>50K
31,Private,Bachelors,13,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,99999,0,70,United-States,>50K
48,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,5013,0,45,United-States,<=50K
71,Private,5th-6th,3,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
50,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,0,45,United-States,<=50K
43,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,42,United-States,<=50K
48,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,6,United-States,<=50K
31,Government,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Spouse,White,Female,0,0,35,United-States,<=50K
30,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
58,Government,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,1977,50,United-States,>50K
34,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
61,Private,12th,8,Married-civ-spouse,Other-service,Spouse,White,Female,0,0,40,United-States,<=50K
25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,United-States,<=50K
67,Private,HS-grad,9,Married-civ-spouse,Priv-house-serv,Spouse,Black,Female,0,0,20,United-States,<=50K
60,Private,Some-college,10,Married-civ-spouse,Other-service,Spouse,White,Male,0,0,40,United-States,<=50K
42,Self-employed,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,<=50K
50,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
51,Self-employed,12th,8,Married-civ-spouse,Other-service,Spouse,White,Male,0,0,99,United-States,<=50K
25,Private,12th,8,Married-civ-spouse,Machine-op-inspct,Other-relative,Other,Male,0,0,40,Latin America,<=50K
23,Government,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,0,0,30,United-States,<=50K
37,Self-employed,HS-grad,9,Divorced,Farming-fishing,Unmarried,White,Male,0,0,56,United-States,<=50K
28,Private,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
42,Self-employed,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Female,7430,0,44,United-States,>50K
45,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
35,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,16,United-States,>50K
70,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,20,United-States,>50K
42,Self-employed,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,1977,60,United-States,>50K
31,Private,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,0,56,Latin America,<=50K
43,Self-employed,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,Male,0,0,45,United-States,>50K
54,Self-employed,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
49,Self-employed,Prof-school,15,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,85,United-States,>50K
26,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,1974,40,United-States,<=50K
26,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,<=50K
58,Private,12th,8,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,<=50K
34,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,<=50K
19,Self-employed,10th,6,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,4386,0,47,United-States,>50K
27,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,28,Latin America,<=50K
41,Self-employed,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,72,United-States,<=50K
34,Self-employed,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,>50K
31,Private,Bachelors,13,Married-civ-spouse,Tech-support,Spouse,White,Male,0,0,43,United-States,>50K
44,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,40,Latin America,<=50K
30,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,40,Latin America,<=50K
67,Private,Masters,14,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,0,2,United-States,<=50K
66,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,1825,40,United-States,>50K
35,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Male,0,0,40,United-States,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Female,0,0,38,Latin America,<=50K
28,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1669,40,United-States,<=50K
45,Government,Some-college,10,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,>50K
41,Private,Some-college,10,Widowed,Adm-clerical,Unmarried,Black,Female,0,0,48,United-States,<=50K
27,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,48,United-States,<=50K
69,Government,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,>50K
19,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K
43,Private,Some-college,10,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
54,Private,Some-college,10,Married-civ-spouse,Sales,Spouse,White,Female,0,0,40,United-States,>50K
35,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,30,United-States,<=50K
54,Government,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,32,United-States,>50K
24,Private,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Female,0,0,22,United-States,<=50K
18,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
31,Private,Some-college,10,Married-civ-spouse,Other-service,Spouse,Asian-Pac-Islander,Male,0,1485,55,United-States,>50K
77,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,50,United-States,>50K
50,Government,Some-college,10,Married-civ-spouse,Farming-fishing,Spouse,White,Male,0,0,40,Latin America,<=50K
17,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,50,United-States,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,Male,0,0,40,United-States,>50K
34,Private,12th,8,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
39,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,40,United-States,<=50K
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
31,Private,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,40,Latin America,<=50K
32,Self-employed,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,3781,0,40,United-States,<=50K
47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,<=50K
59,Government,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,1887,40,United-States,>50K
24,Private,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,15,United-States,<=50K
30,Private,Some-college,10,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
28,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
32,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,Europe,<=50K
31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,10,United-States,<=50K
31,Government,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
45,Government,Masters,14,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
39,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,<=50K
64,Government,7th-8th,4,Married-civ-spouse,Other-service,Spouse,Black,Female,0,0,40,United-States,<=50K
54,Self-employed,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
38,Private,Some-college,10,Widowed,Other-service,Other-relative,Black,Female,0,0,45,Latin America,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,Black,Male,0,0,40,United-States,<=50K
76,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,33,United-States,<=50K
27,Private,Doctorate,16,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
30,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,27828,0,60,United-States,>50K
32,Self-employed,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,Male,0,0,50,United-States,<=50K
39,Self-employed,10th,6,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,1721,15,United-States,<=50K
53,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,50,United-States,>50K
36,Government,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
40,Self-employed,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,Male,0,0,50,United-States,>50K
37,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,40,Latin America,<=50K
22,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,25,United-States,<=50K
81,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,0,18,United-States,<=50K
25,Government,Some-college,10,Married-civ-spouse,Other-service,Spouse,White,Female,0,0,15,United-States,<=50K
44,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,45,United-States,>50K
50,Private,9th,5,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,<=50K
60,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Spouse,White,Male,0,0,40,United-States,<=50K
34,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,48,United-States,>50K
41,Private,Bachelors,13,Married-civ-spouse,Tech-support,Spouse,White,Male,0,0,40,United-States,>50K
26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K
40,Government,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
41,Government,Bachelors,13,Married-civ-spouse,Craft-repair,Spouse,Black,Male,0,0,40,United-States,<=50K
47,Government,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,7688,0,60,United-States,>50K
48,Private,Some-college,10,Married-civ-spouse,Tech-support,Spouse,White,Male,0,0,40,United-States,>50K
19,Private,10th,6,Never-married,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K
64,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
43,Government,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,39,United-States,<=50K
51,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
57,Government,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,62,United-States,<=50K
25,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,1092,40,Asia,<=50K
20,Government,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,24,United-States,<=50K
78,Self-employed,11th,7,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,10,United-States,<=50K
47,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
42,Private,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,1590,40,United-States,<=50K
45,Self-employed,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,60,United-States,<=50K
54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,7688,0,40,United-States,>50K
46,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,Black,Female,0,0,36,United-States,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,Male,0,0,50,United-States,>50K
39,Government,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,>50K
36,Private,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Spouse,Black,Female,0,0,21,Latin America,<=50K
28,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,Black,Male,0,0,40,United-States,<=50K
62,Government,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
51,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
60,Self-employed,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
40,Private,10th,6,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
27,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Spouse,White,Female,0,0,40,Latin America,>50K
40,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,40,United-States,<=50K
46,Self-employed,HS-grad,9,Married-civ-spouse,Farming-fishing,Spouse,White,Male,4386,0,70,United-States,<=50K
71,Self-employed,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,Male,20051,0,50,United-States,>50K
57,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,Female,9386,0,40,United-States,>50K
43,Government,Masters,14,Separated,Prof-specialty,Unmarried,Black,Female,0,0,37,United-States,<=50K
28,Government,HS-grad,9,Married-civ-spouse,Protective-serv,Spouse,White,Male,3908,0,40,United-States,<=50K
57,Private,HS-grad,9,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,35,United-States,<=50K
37,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
60,Private,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,20,United-States,<=50K
50,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Spouse,White,Male,0,0,60,United-States,>50K
29,Private,5th-6th,3,Married-civ-spouse,Farming-fishing,Spouse,White,Male,0,0,40,Latin America,<=50K
20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,9,Europe,<=50K
60,Government,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
40,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
27,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Male,0,0,40,United-States,<=50K
69,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,2267,40,United-States,<=50K
26,Self-employed,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,60,United-States,<=50K
41,Private,Assoc-acdm,12,Divorced,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K
50,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
54,Private,Masters,14,Married-civ-spouse,Exec-managerial,Spouse,White,Female,0,0,55,United-States,>50K
25,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Latin America,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,Black,Male,0,0,60,United-States,>50K
43,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,55,United-States,<=50K
45,Government,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
32,Private,Some-college,10,Married-civ-spouse,Other-service,Spouse,Black,Male,0,0,50,United-States,<=50K
48,Private,Bachelors,13,Married-spouse-absent,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,36,Asia,>50K
47,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Self-employed,Masters,14,Married-civ-spouse,Sales,Spouse,White,Male,0,0,40,United-States,>50K
48,Private,Masters,14,Married-civ-spouse,Exec-managerial,Spouse,White,Female,0,1902,38,United-States,>50K
39,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
41,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,50,Asia,>50K
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,<=50K
41,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,40,United-States,>50K
41,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,45,United-States,<=50K
53,Government,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,<=50K
41,Government,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,35,United-States,>50K
21,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,24,United-States,<=50K
31,Private,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,<=50K
31,Private,HS-grad,9,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
63,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,40,United-States,<=50K
38,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,45,United-States,<=50K
39,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,>50K
43,Private,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,45,United-States,>50K
44,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,48,United-States,<=50K
38,Government,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,40,United-States,>50K
37,Self-employed,HS-grad,9,Married-civ-spouse,Farming-fishing,Spouse,White,Male,0,0,60,United-States,<=50K
31,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,72,United-States,>50K
28,Private,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,>50K
21,Private,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,35,United-States,<=50K
23,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,<=50K
51,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,2105,0,45,United-States,<=50K
41,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,<=50K
64,Private,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
23,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,United-States,<=50K
19,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,Latin America,<=50K
61,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
41,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,<=50K
35,Government,Bachelors,13,Widowed,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K
27,Self-employed,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,80,United-States,<=50K
38,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,Other,Male,0,0,40,Puerto-Rico,<=50K
26,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K
23,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States,<=50K
48,Private,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,Asian-Pac-Islander,Female,0,0,40,Latin America,<=50K
27,Private,10th,6,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
28,Private,10th,6,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,Latin America,<=50K
25,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Spouse,Black,Male,0,1902,36,United-States,>50K
59,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,<=50K
21,Private,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,<=50K
29,Private,11th,7,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
57,Private,Some-college,10,Married-civ-spouse,Other-service,Spouse,Other,Male,0,0,40,Latin America,<=50K
21,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,0,0,9,United-States,<=50K
33,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
42,Government,7th-8th,4,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Male,0,0,40,Latin America,<=50K
37,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,52,United-States,<=50K
38,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
31,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,>50K
51,Self-employed,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,Male,15024,0,50,United-States,>50K
59,Private,HS-grad,9,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,18,United-States,<=50K
22,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,0,40,Latin America,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Female,0,0,35,United-States,<=50K
32,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
28,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
53,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,<=50K
27,Private,Bachelors,13,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
58,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,99,United-States,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,Male,0,0,20,United-States,<=50K
45,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,>50K
41,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,White,Female,0,0,60,United-States,<=50K
46,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,>50K
40,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Spouse,White,Male,0,0,40,United-States,<=50K
48,Private,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
69,Self-employed,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,Male,20051,0,45,United-States,>50K
35,Self-employed,Some-college,10,Married-civ-spouse,Sales,Spouse,White,Male,0,0,50,United-States,>50K
25,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,8,United-States,<=50K
