,Id,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
108,16388,20,Private,95989,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
109,16389,45,Government,195418,Masters,14,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
110,16390,39,Private,191161,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,<=50K
111,16391,64,Government,222966,7th-8th,4,Married-civ-spouse,Other-service,Spouse,Black,Female,0,0,40,United-States,<=50K
112,16392,54,Self-employed,124963,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
113,16393,38,Private,167882,Some-college,10,Widowed,Other-service,Other-relative,Black,Female,0,0,45,Latin America,<=50K
114,16394,36,Private,197202,HS-grad,9,Married-civ-spouse,Other-service,Spouse,Black,Male,0,0,40,United-States,<=50K
115,16395,76,Private,116202,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,33,United-States,<=50K
116,16396,27,Private,220754,Doctorate,16,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
117,16397,30,Private,116138,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,27828,0,60,United-States,>50K
118,16398,32,Self-employed,124052,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,Male,0,0,50,United-States,<=50K
119,16399,39,Self-employed,251710,10th,6,Married-spouse-absent,Other-service,Not-in-family,White,Female,0,1721,15,United-States,<=50K
120,16400,53,Private,154785,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,50,United-States,>50K
121,16401,36,Government,177064,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
122,16402,40,Self-employed,243636,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,Male,0,0,50,United-States,>50K
123,16403,37,Private,222450,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,40,Latin America,<=50K
124,16404,22,Private,156933,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,25,United-States,<=50K
125,16405,81,Private,89015,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,0,0,18,United-States,<=50K
126,16406,25,Government,194954,Some-college,10,Married-civ-spouse,Other-service,Spouse,White,Female,0,0,15,United-States,<=50K
127,16407,44,Private,191814,Some-college,10,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,45,United-States,>50K
128,16408,50,Private,257117,9th,5,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,<=50K
129,16409,60,Private,31577,Assoc-voc,11,Married-civ-spouse,Tech-support,Spouse,White,Male,0,0,40,United-States,<=50K
130,16410,34,Private,199539,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,48,United-States,>50K
131,16411,41,Private,175674,Bachelors,13,Married-civ-spouse,Tech-support,Spouse,White,Male,0,0,40,United-States,>50K
132,16412,26,Private,397317,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K
133,16413,40,Government,55363,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
134,16414,41,Government,523910,Bachelors,13,Married-civ-spouse,Craft-repair,Spouse,Black,Male,0,0,40,United-States,<=50K
135,16415,47,Government,123681,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,7688,0,60,United-States,>50K
136,16416,48,Private,345831,Some-college,10,Married-civ-spouse,Tech-support,Spouse,White,Male,0,0,40,United-States,>50K
137,16417,19,Private,446219,10th,6,Never-married,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K
138,16418,64,Private,196288,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
139,16419,43,Government,98130,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,39,United-States,<=50K
140,16420,51,Private,138847,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
141,16421,57,Government,268252,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,62,United-States,<=50K
142,16422,25,Private,74883,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,1092,40,Asia,<=50K
143,16423,20,Government,225515,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,24,United-States,<=50K
144,16424,78,Self-employed,212660,11th,7,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,10,United-States,<=50K
145,16425,47,Private,168262,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
146,16426,42,Private,191712,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,1590,40,United-States,<=50K
147,16427,45,Self-employed,188330,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,60,United-States,<=50K
148,16428,54,Private,185407,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,7688,0,40,United-States,>50K
149,16429,46,Private,114797,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,Black,Female,0,0,36,United-States,<=50K
150,16430,30,Private,226443,Bachelors,13,Married-civ-spouse,Sales,Spouse,White,Male,0,0,50,United-States,>50K
151,16431,39,Government,99156,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,>50K
152,16432,36,Private,200904,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Spouse,Black,Female,0,0,21,Latin America,<=50K
153,16433,28,Private,407043,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,Black,Male,0,0,40,United-States,<=50K
154,16434,62,Government,114060,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
155,16435,51,Private,306790,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
156,16436,26,Private,104045,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
157,16437,60,Self-employed,261119,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
158,16438,40,Private,198316,10th,6,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
159,16439,27,Private,221436,Bachelors,13,Married-civ-spouse,Adm-clerical,Spouse,White,Female,0,0,40,Latin America,>50K
160,16440,40,Private,119225,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,40,United-States,<=50K
161,16441,46,Self-employed,51271,HS-grad,9,Married-civ-spouse,Farming-fishing,Spouse,White,Male,4386,0,70,United-States,<=50K
162,16442,71,Self-employed,118119,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,Male,20051,0,50,United-States,>50K
163,16443,57,Private,334224,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,Female,9386,0,40,United-States,>50K
164,16444,43,Government,216116,Masters,14,Separated,Prof-specialty,Unmarried,Black,Female,0,0,37,United-States,<=50K
165,16445,28,Government,327533,HS-grad,9,Married-civ-spouse,Protective-serv,Spouse,White,Male,3908,0,40,United-States,<=50K
166,16446,57,Private,29375,HS-grad,9,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,35,United-States,<=50K
167,16447,37,Private,173968,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
168,16448,60,Private,184242,HS-grad,9,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,20,United-States,<=50K
169,16449,50,Private,20795,HS-grad,9,Married-civ-spouse,Farming-fishing,Spouse,White,Male,0,0,60,United-States,>50K
170,16450,29,Private,423024,5th-6th,3,Married-civ-spouse,Farming-fishing,Spouse,White,Male,0,0,40,Latin America,<=50K
171,16451,20,Private,88126,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,9,Europe,<=50K
172,16452,60,Government,67320,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
173,16453,40,Private,184857,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
174,16454,27,Private,107236,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Male,0,0,40,United-States,<=50K
175,16455,69,Private,124930,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,2267,40,United-States,<=50K
176,16456,26,Self-employed,37918,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,60,United-States,<=50K
177,16457,41,Private,96741,Assoc-acdm,12,Divorced,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K
178,16458,50,Private,180607,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
179,16459,54,Private,37289,Masters,14,Married-civ-spouse,Exec-managerial,Spouse,White,Female,0,0,55,United-States,>50K
180,16460,25,Private,254613,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Latin America,<=50K
181,16461,47,Private,230136,HS-grad,9,Married-civ-spouse,Other-service,Spouse,Black,Male,0,0,60,United-States,>50K
182,16462,43,Private,180599,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,55,United-States,<=50K
183,16463,45,Government,207847,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
184,16464,32,Private,111836,Some-college,10,Married-civ-spouse,Other-service,Spouse,Black,Male,0,0,50,United-States,<=50K
185,16465,48,Private,114561,Bachelors,13,Married-spouse-absent,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,0,0,36,Asia,>50K
186,16466,47,Private,181652,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
187,16467,35,Self-employed,189878,Masters,14,Married-civ-spouse,Sales,Spouse,White,Male,0,0,40,United-States,>50K
188,16468,48,Private,140782,Masters,14,Married-civ-spouse,Exec-managerial,Spouse,White,Female,0,1902,38,United-States,>50K
189,16469,39,Private,172855,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
190,16470,41,Private,180138,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,50,Asia,>50K
191,16471,18,Private,168740,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,<=50K
192,16472,41,Private,124692,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,40,United-States,>50K
193,16473,41,Private,207685,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,45,United-States,<=50K
194,16474,53,Government,77651,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,Male,0,0,40,United-States,<=50K
195,16475,41,Government,34987,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,35,United-States,>50K
196,16476,21,Private,410439,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,24,United-States,<=50K
197,16477,31,Private,188246,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,<=50K
198,16478,31,Private,179013,HS-grad,9,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
199,16479,63,Private,172740,Some-college,10,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,40,United-States,<=50K
200,16480,38,Private,32916,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,45,United-States,<=50K
201,16481,39,Private,172538,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,50,United-States,>50K
202,16482,43,Private,346321,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,45,United-States,>50K
203,16483,44,Private,165599,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,White,Male,0,0,48,United-States,<=50K
204,16484,38,Government,223237,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,Male,0,0,40,United-States,>50K
205,16485,37,Self-employed,31670,HS-grad,9,Married-civ-spouse,Farming-fishing,Spouse,White,Male,0,0,60,United-States,<=50K
206,16486,31,Private,188096,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,72,United-States,>50K
207,16487,28,Private,31493,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,>50K
208,16488,21,Private,242912,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,35,United-States,<=50K
209,16489,23,Private,119665,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,<=50K
210,16490,51,Private,246519,10th,6,Married-civ-spouse,Handlers-cleaners,Spouse,White,Male,2105,0,45,United-States,<=50K
211,16491,41,Private,205153,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,<=50K
212,16492,64,Private,143110,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,<=50K
213,16493,41,Private,203233,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,Male,0,0,40,United-States,>50K
214,16494,23,Private,107190,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Male,0,0,20,United-States,<=50K
215,16495,19,Private,62534,Bachelors,13,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,Latin America,<=50K
216,16496,61,Private,95500,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,White,Male,0,0,40,United-States,<=50K
217,16497,41,Private,286970,Bachelors,13,Married-civ-spouse,Adm-clerical,Spouse,White,Male,0,0,40,United-States,<=50K
218,16498,35,Government,226916,Bachelors,13,Widowed,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K
219,16499,27,Self-employed,30244,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,80,United-States,<=50K
220,16500,38,Private,229236,HS-grad,9,Married-civ-spouse,Transport-moving,Spouse,Other,Male,0,0,40,Puerto-Rico,<=50K
221,16501,26,Private,206199,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K
222,16502,23,Private,87528,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States,<=50K
